Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
PIH:DIAGNOSIS,Coded,CIEL:130795 | CIEL:118976,checkbox,No,no,PIH:DIAGNOSIS,CIEL:130795|CIEL:118976,PIH:DIAGNOSIS,PIH:Visit Diagnoses
Comments about other NCDs,Coded,N/A,text area,No,no,PIH:21625,,,
