Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Zl registration patient birthplace label,Coded,N/A,radio,No,no,PIH:PLACE OF BIRTH,,,
Zl registration patient civil Status label,Coded,Zl.Registration.Patient.Civilstatus.Single.Label | Zl.Registration.Patient.Civilstatus.Married.Label | Zl.Registration.Patient.Civilstatus.Livingwithpartner.Label | Zl.Registration.Patient.Civilstatus.Separated.Label | Zl.Registration.Patient.Civilstatus.Divorced.Label | Zl.Registration.Patient.Civilstatus.Widowed.Label,dropdown,No,no,PIH:CIVIL STATUS,PIH:SINGLE OR A CHILD|PIH:MARRIED|PIH:LIVING WITH PARTNER|PIH:SEPARATED|PIH:DIVORCED|PIH:WIDOWED,,
Zl registration patient occupation label,Coded,Zl.Registration.Patient.Occupation.Civilservant.Label | Zl.Registration.Patient.Occupation.Commerce.Label | Zl.Registration.Patient.Occupation.Motorcycletaxi | Zl.Registration.Patient.Occupation.Cowherd.Label | Zl.Registration.Patient.Occupation.Driver.Label | Zl.Registration.Patient.Occupation.Factoryworker.Label | Zl.Registration.Patient.Occupation.Farmer.Label | Zl.Registration.Patient.Occupation.Fisherman.Label | Zl.Registration.Patient.Occupation.Fruitorvegetablevendor.Label | Zl.Registration.Patient.Occupation.Healthcareworker.Label | Zl.Registration.Patient.Occupation.Housework.Label | Zl.Registration.Patient.Occupation.Houseworkfieldwork.Label | Zl.Registration.Patient.Occupation.Manuallaborer.Label | Zl.Registration.Patient.Occupation.Marketvendor.Label | Zl.Registration.Patient.Occupation.Military.Label | Zl.Registration.Patient.Occupation.Miner.Label | Zl.Registration.Patient.Occupation.Police.Label | Zl.Registration.Patient.Occupation.Professional.Label | Zl.Registration.Patient.Occupation.Retired.Label | Zl.Registration.Patient.Occupation.Shopowner.Label | Zl.Registration.Patient.Occupation.Student.Label | Zl.Registration.Patient.Occupation.Teacher.Label | Zl.Registration.Patient.Occupation.Unemployed.Label | Zl.Registration.Patient.Occupation.Other.Label,radio,No,no,PIH:Occupation,CIEL:162944|PIH:COMMERCE|PIH:Commercial bike rider|PIH:Cowherd|PIH:DRIVER|PIH:FACTORY WORKER|PIH:FARMER|CIEL:159674|PIH:FRUIT OR VEGETABLE SELLER|PIH:HEALTH CARE WORKER|PIH:1404|PIH:HOUSEWORK/FIELDWORK|PIH:MANUAL LABORER|CIEL:162945|PIH:Military|PIH:MINER|PIH:Police|PIH:PROFESSIONAL|PIH:RETIRED|PIH:SHOP OWNER|PIH:STUDENT|PIH:Teacher|PIH:UNEMPLOYED|PIH:OTHER NON-CODED,,
